experiment,scenario,strategy,variant,param,value,n_seeds,asr_final_mean,asr_post_mean_mean,false_retrieval_rate_mean,answer_flip_rate_mean,propagation_final_mean,propagation_peak_mean,exposure_final_mean,clean_accuracy_final_mean,clean_accuracy_mean_mean,clean_unknown_final_mean,target_accuracy_final_mean,fp_reject_rate_mean,fn_accept_rate_mean,fn_accept_injected_mean,recovery_rounds_mean,recovered_mean,context_tokens_per_query_mean,scored_per_query_mean,verifier_lookups_mean,messages_mean,asr_final_sd,asr_post_mean_sd,false_retrieval_rate_sd,answer_flip_rate_sd,propagation_final_sd,propagation_peak_sd,exposure_final_sd,clean_accuracy_final_sd,clean_accuracy_mean_sd,clean_unknown_final_sd,target_accuracy_final_sd,fp_reject_rate_sd,fn_accept_rate_sd,fn_accept_injected_sd,recovery_rounds_sd,recovered_sd,context_tokens_per_query_sd,scored_per_query_sd,verifier_lookups_sd,messages_sd
k,none,verified,default,k,3,8,0.05,0.0546875,0.0770834,0.0270834,,,,0.946875,0.944792,0.040625,0.929167,0,0.782089,,,1,54.6973,12,196.25,150,0.103892,0.104165,0.115899,0.0576922,,,,0.0632985,0.063455,0.0625892,0.114694,0,0.333336,,,0,0.395088,0,39.1143,0
k,none,verified,default,k,5,8,0.05,0.0546875,0.0770834,0.0270834,,,,0.946875,0.944792,0.040625,0.929167,0,0.782089,,,1,85.9545,20,198,150,0.103892,0.104165,0.115899,0.0576922,,,,0.0632985,0.063455,0.0625892,0.114694,0,0.333336,,,0,0.517769,0,39.6016,0
k,none,verified,default,k,8,8,0.05,0.0546875,0.0770834,0.0270834,,,,0.946875,0.944792,0.040625,0.929167,0,0.782089,,,1,133.026,31.86,198,150,0.103892,0.104165,0.115899,0.0576922,,,,0.0632985,0.063455,0.0625892,0.114694,0,0.333336,,,0,0.861341,0.103095,39.6016,0
k,forged_meta,naive,default,k,1,8,0.408333,0.348958,0.348958,0.303125,0.425,0.425,0.825,0.940625,0.940625,0.03125,0.591667,0,1,1,8,0,17.4173,1,0,152,0.221646,0.188979,0.188979,0.147141,0.0584183,0.0584183,0.0584183,0.0680566,0.0664338,0.0347183,0.221646,0,0,0,0,0,0.161593,0,0,0
k,forged_meta,naive,default,k,3,8,0.0958333,0.136458,0.711458,0.0906249,0.425,0.425,0.825,0.940625,0.940625,0.03125,0.904167,0,1,1,6.125,0.5,36.6982,3,0,152,0.107552,0.116043,0.0730823,0.0611055,0.0584183,0.0584183,0.0584183,0.0680566,0.0664338,0.0347183,0.107552,0,0,0,2.41646,0.534522,0.404929,0,0,0
k,forged_meta,naive,default,k,5,8,0.0958333,0.136458,0.711458,0.0906249,0.425,0.425,0.825,0.940625,0.940625,0.03125,0.904167,0,1,1,6.125,0.5,55.9641,5,0,152,0.107552,0.116043,0.0730823,0.0611055,0.0584183,0.0584183,0.0584183,0.0680566,0.0664338,0.0347183,0.107552,0,0,0,2.41646,0.534522,0.566364,0,0,0
k,forged_meta,naive,default,k,8,8,0.0958333,0.136458,0.711458,0.0906249,0.425,0.425,0.825,0.940625,0.940625,0.03125,0.904167,0,1,1,6.125,0.5,84.917,8,0,152,0.107552,0.116043,0.0730823,0.0611055,0.0584183,0.0584183,0.0584183,0.0680566,0.0664338,0.0347183,0.107552,0,0,0,2.41646,0.534522,0.875807,0,0,0
k,forged_meta,provenance,default,k,1,8,0.408333,0.348958,0.348958,0.303125,0.425,0.425,0.825,0.940625,0.940625,0.03125,0.591667,0,1,1,8,0,22.4173,4,0,152,0.221646,0.188979,0.188979,0.147141,0.0584183,0.0584183,0.0584183,0.0680566,0.0664338,0.0347183,0.221646,0,0,0,0,0,0.161593,0,0,0
k,forged_meta,provenance,default,k,3,8,0.208333,0.246875,0.711458,0.201042,0.425,0.425,0.825,0.946875,0.945833,0.03125,0.791667,0,1,1,8,0,51.6982,12,0,152,0.0830948,0.110526,0.0730823,0.0631807,0.0584183,0.0584183,0.0584183,0.0541781,0.055277,0.0347183,0.0830947,0,0,0,0,0,0.404929,0,0,0
k,forged_meta,provenance,default,k,5,8,0.208333,0.246875,0.711458,0.201042,0.425,0.425,0.825,0.946875,0.945833,0.03125,0.791667,0,1,1,8,0,80.9641,20,0,152,0.0830948,0.110526,0.0730823,0.0631807,0.0584183,0.0584183,0.0584183,0.0541781,0.055277,0.0347183,0.0830947,0,0,0,0,0,0.566364,0,0,0
